configuration,floor_to_partner_confirmed_n,floor_to_partner_confirmed_difference,floor_to_partner_confirmed_false_A,floor_to_partner_confirmed_false_A_n,floor_to_partner_confirmed_false_B,floor_to_partner_confirmed_false_B_n,floor_to_partner_confirmed_leave_area_min,floor_to_partner_confirmed_leave_area_max,junior_said_to_partner_said_n,junior_said_to_partner_said_difference,junior_said_to_partner_said_false_A,junior_said_to_partner_said_false_A_n,junior_said_to_partner_said_false_B,junior_said_to_partner_said_false_B_n,junior_said_to_partner_said_leave_area_min,junior_said_to_partner_said_leave_area_max
gemma-3-12b-it @bb18eda,30,0.8333333333333334,0.9411764705882353,17,0.6923076923076923,13,0.7916666666666666,0.875,30,0.5,0.5882352941176471,17,0.38461538461538464,13,0.44,0.5833333333333334
Qwen3-14B @0915afb,30,0.8333333333333334,0.9411764705882353,17,0.6923076923076923,13,0.7916666666666666,0.875,30,0.36666666666666664,0.47058823529411764,17,0.23076923076923078,13,0.2916666666666667,0.4166666666666667
Qwen3-14B think @f8e14eb,28,0.42857142857142855,0.5,16,0.3333333333333333,12,0.391304347826087,0.4782608695652174,30,0.03333333333333333,0.0,17,0.07692307692307693,13,0.0,0.041666666666666664
Thomson-1.0-Small @bb18eda,30,0.06666666666666667,0.058823529411764705,17,0.07692307692307693,13,0.0,0.08333333333333333,30,0.0,0.0,17,0.0,13,0.0,0.0
Thomson-1.0-Small think @bb18eda,27,0.0,0.0,15,0.0,12,0.0,0.0,30,0.03333333333333333,0.058823529411764705,17,0.0,13,0.0,0.041666666666666664
gpt-5.1 @bb18eda,30,0.13333333333333333,0.11764705882352941,17,0.15384615384615385,13,0.08333333333333333,0.16666666666666666,30,0.0,0.0,17,0.0,13,0.0,0.0
gpt-5.6-sol @bb18eda,30,0.0,0.0,17,0.0,13,0.0,0.0,30,0.0,0.0,17,0.0,13,0.0,0.0
claude-opus-5 effort=low @bb18eda,30,0.0,0.0,17,0.0,13,0.0,0.0,30,0.0,0.0,17,0.0,13,0.0,0.0
claude-opus-5 effort=medium @bb18eda,30,0.0,0.0,17,0.0,13,0.0,0.0,30,0.0,0.0,17,0.0,13,0.0,0.0
