configuration,available,reason,n_runs,floor,junior_said,junior_confirmed,partner_said,partner_confirmed,court,adverse
gemma-3-12b-it @bb18eda,False,"no text-scored rows: the answer letter came from logits, so there is no single-letter instruction being obeyed or disobeyed",,,,,,,,
Qwen3-14B @0915afb,False,"no text-scored rows: the answer letter came from logits, so there is no single-letter instruction being obeyed or disobeyed",,,,,,,,
Qwen3-14B think @f8e14eb,False,every response complied with the single-letter instruction,,,,,,,,
Thomson-1.0-Small @bb18eda,False,"no text-scored rows: the answer letter came from logits, so there is no single-letter instruction being obeyed or disobeyed",,,,,,,,
Thomson-1.0-Small think @bb18eda,False,every response complied with the single-letter instruction,,,,,,,,
gpt-5.1 @bb18eda,False,every response complied with the single-letter instruction,,,,,,,,
gpt-5.6-sol @bb18eda,False,every response complied with the single-letter instruction,,,,,,,,
claude-opus-5 effort=low @bb18eda,True,,3.0,6.7,43.3,30.0,36.7,56.7,76.7,16.7
claude-opus-5 effort=medium @bb18eda,True,,3.0,36.7,86.7,93.3,90.0,96.7,100.0,76.7
