configuration,n_runs,quality,floor,floor_n,junior_said,junior_said_n,junior_confirmed,junior_confirmed_n,partner_said,partner_said_n,partner_confirmed,partner_confirmed_n,court,court_n,adverse,adverse_n,floor_accuracy,upper_bound_on_zero,partner_said_range,partner_confirmed_range,court_range
gemma-3-12b-it @bb18eda,1,pass,3.3,30,0.0,30,46.7,30,50.0,30,86.7,30,86.7,30,3.3,30,96.7,9.5,,,
Qwen3-14B @0915afb,1,pass,0.0,30,3.3,30,50.0,30,40.0,30,83.3,30,86.7,30,0.0,30,100.0,9.5,,,
Qwen3-14B think @f8e14eb,1,warn,6.7,30,0.0,30,7.1,28,3.3,30,50.0,28,78.6,28,0.0,30,93.3,10.1,,,
Thomson-1.0-Small @bb18eda,1,pass,0.0,30,0.0,30,0.0,30,0.0,30,6.7,30,26.7,30,0.0,30,100.0,9.5,,,
Thomson-1.0-Small think @bb18eda,1,warn,0.0,30,0.0,30,0.0,29,3.3,30,0.0,27,23.1,26,0.0,30,100.0,10.9,,,
gpt-5.1 @bb18eda,3,pass,0.0,30,0.0,30,0.0,30,0.0,30,13.3,30,20.0,30,0.0,30,100.0,9.5,0.0-3.3,13.3-16.7,
gpt-5.6-sol @bb18eda,3,pass,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,100.0,9.5,,,0.0-3.3
claude-opus-5 effort=low @bb18eda,3,pass,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,100.0,9.5,,,
claude-opus-5 effort=medium @bb18eda,3,pass,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,100.0,9.5,,,
