scenario_id,area,layer,cosine_distance,l2_distance,relative_l2,control_norm,partner_norm
scenario_001,civil_procedure,0,4.0205624472267054e-05,0.005210349770537224,0.008967276554126987,0.581040379326684,0.5809884564160065
scenario_001,civil_procedure,1,0.0002156423758085113,0.015288517602292613,0.020778835843171868,0.7357735398499995,0.7350834003238234
scenario_001,civil_procedure,2,0.0004217087445105294,0.027148837700430938,0.02930091456858031,0.9265525701215802,0.9297865321158749
scenario_001,civil_procedure,3,0.0004403148858607153,0.030723337146989434,0.029673386782966518,1.0353835701904315,1.0346460422131711
scenario_001,civil_procedure,4,0.0003928918820648164,0.031641915361932706,0.0280769215280939,1.1269723901273028,1.1283759635392285
scenario_001,civil_procedure,5,0.0004173102496438652,0.03430565193834742,0.029001148959521942,1.182906649189285,1.1854566198554999
scenario_001,civil_procedure,6,0.00031862192407872136,0.030035004567633243,0.025559447725598407,1.1751038164080696,1.1794507819127527
scenario_001,civil_procedure,7,0.0007628796769246771,0.053948539288039034,0.03969435452264089,1.3590985402538247,1.3677165177155013
scenario_001,civil_procedure,8,0.0023290740315672354,0.0998924388344012,0.06822798002214085,1.4640978496210033,1.462924518089324
scenario_001,civil_procedure,9,0.0024491936384400947,0.10831613956582588,0.06995629172616222,1.5483402120544059,1.5426554861384947
scenario_001,civil_procedure,10,0.0018575197224124373,0.09299562272081217,0.06102405244429507,1.523917520975879,1.5264413648935566
scenario_001,civil_procedure,11,0.00211586642842998,0.11067317360863103,0.06517975667233594,1.6979684991000241,1.6865679912281604
scenario_001,civil_procedure,12,0.006512375399688963,0.16852996844630957,0.11432244494524896,1.4741634376960846,1.4783354523064627
scenario_001,civil_procedure,13,0.005733181305509927,0.17681377631253592,0.10707892656646124,1.651247187305263,1.651179826073902
scenario_001,civil_procedure,14,0.0037856259245523383,0.16048853638337351,0.08696939208982284,1.845345040673843,1.8335633896233228
scenario_001,civil_procedure,15,0.004628738687916467,0.19997939908628234,0.0972057061368271,2.057280452289402,2.0777756086225585
scenario_001,civil_procedure,16,0.004164142593168996,0.2023411913911596,0.0915839982817396,2.2093509257883452,2.219497981615928
scenario_001,civil_procedure,17,0.006502117581990818,0.23887819849430814,0.11416424396981506,2.09240818480318,2.096498116935753
scenario_001,civil_procedure,18,0.007244824144747808,0.28337219840102557,0.12131742897748596,2.3357913268473047,2.358007046404679
scenario_001,civil_procedure,19,0.011259007947522659,0.41373037511315497,0.14964156133613968,2.7648092643446356,2.736888201033043
scenario_001,civil_procedure,20,0.014225244028272854,0.48419442184273853,0.16807316613708873,2.8808550048245403,2.841825238622227
scenario_001,civil_procedure,21,0.014004401287162294,0.47118645693843025,0.16686645592827104,2.8237338314476683,2.8000962515569436
scenario_001,civil_procedure,22,0.012026583875279329,0.4672571992782183,0.15470920881755057,3.0202287430042856,2.9683844766495624
scenario_001,civil_procedure,23,0.02036357582671744,0.6254279595575091,0.20114803472424403,3.1092919223144033,3.008142367553147
scenario_001,civil_procedure,24,0.02359369128290978,0.6671837869500783,0.2163304828041854,3.0840951228957834,2.971336760340965
scenario_001,civil_procedure,25,0.03853424543142436,0.9430858051832712,0.2767669089195595,3.4075092606442086,3.384834039022021
scenario_001,civil_procedure,26,0.033599792119623495,0.9893827144225169,0.2584325867584553,3.828397675511587,3.802259866990624
scenario_001,civil_procedure,27,0.045940055491444975,1.1778781379912509,0.3010876341364433,3.912077430112836,3.8486800853400855
scenario_001,civil_procedure,28,0.03833637178725502,1.1909049865481145,0.2770865668879304,4.297952801984025,4.3036949911789435
scenario_001,civil_procedure,29,0.038354329472858995,1.1447558903207846,0.279625602438997,4.09388797140106,4.159332931402461
scenario_001,civil_procedure,30,0.032137538674515076,1.1177950415940983,0.2573559907615816,4.343380693358874,4.441289104463867
scenario_001,civil_procedure,31,0.028831385389193165,1.215206137211195,0.24216221546560812,5.018149238826148,5.087021607676334
scenario_001,civil_procedure,32,0.026356837553515478,1.2552000165307824,0.2293744508678197,5.472274753277161,5.461374114559116
scenario_001,civil_procedure,33,0.02506089482609286,1.3660824303180936,0.2239326761104324,6.100415776947219,6.1033158995375185
scenario_001,civil_procedure,34,0.020348631659921512,1.6694112759238093,0.20078094827269907,8.314590055907239,8.19078277891338
scenario_001,civil_procedure,35,0.026169013150674547,1.9713020721224717,0.2337289970831753,8.434135673037437,8.673530472308421
scenario_001,civil_procedure,36,0.023552512927727642,2.002296727397091,0.22151951732083447,9.03891788684739,9.279831988440536
scenario_001,civil_procedure,37,0.017225653646628536,2.110647273054157,0.18931359626173258,11.148947115959459,11.414556850259252
scenario_001,civil_procedure,38,0.011995982744957612,2.4369415662142413,0.15821883566000386,15.40234799509573,15.747820374774783
scenario_001,civil_procedure,39,0.017307458374591023,2.6773912810316096,0.1904810208724589,14.055947772478186,14.436171706218488
scenario_002,civil_procedure,0,3.597478557981759e-05,0.00489807732379696,0.008497475463380682,0.5764155889481418,0.5761016091832211
scenario_002,civil_procedure,1,0.0014480423414341415,0.039232093073136264,0.05385660260389985,0.728454658784871,0.7292635576976443
scenario_002,civil_procedure,2,0.000809509066536318,0.03719148939575405,0.04028531750738791,0.9232020919019321,0.9244227053128604
scenario_002,civil_procedure,3,0.0007920222410083833,0.04102900478109708,0.03994055296389018,1.0272517963932786,1.0229048936526777
scenario_002,civil_procedure,4,0.000639609644809136,0.04034889727395537,0.035773630838765134,1.1278949418305164,1.1260785563741706
scenario_002,civil_procedure,5,0.0006573380158700903,0.043194969146386375,0.03639640601021923,1.186792155639166,1.189849324388799
scenario_002,civil_procedure,6,0.0005723696536296119,0.04059351806982115,0.03461975802815124,1.172553489161083,1.1805080737976237
scenario_002,civil_procedure,7,0.0007944377041466666,0.05344362469855691,0.039854353702450086,1.3409733124155871,1.3403825381072523
scenario_002,civil_procedure,8,0.0007292089937188662,0.05577367356132282,0.03835426422556313,1.4541713858285839,1.4478350650782308
scenario_002,civil_procedure,9,0.0008039197414480004,0.06135312096520563,0.040296436530014,1.52254457834027,1.5151154627931733
scenario_002,civil_procedure,10,0.0006812880320108405,0.05662251963613707,0.037211379052394876,1.5216452891039232,1.5133788221371398
scenario_002,civil_procedure,11,0.0008916584497499214,0.07141976762798843,0.042446552965242454,1.6825810964313361,1.6737104094638682
scenario_002,civil_procedure,12,0.0012325541335231893,0.0743149701088105,0.049897727248777606,1.4893457920096163,1.4798875942725418
scenario_002,civil_procedure,13,0.0018272860644195088,0.10078018051546145,0.06066841000562935,1.6611640309365314,1.6491179895156831
