scenario_id,area,layer,cosine_distance,l2_distance,relative_l2,control_norm,partner_norm
scenario_001,civil_procedure,0,6.451408623320276e-06,0.045241506739886216,0.0035970705423245234,12.577319851684072,12.579629753050911
scenario_001,civil_procedure,1,0.0004266382455915263,0.5131938921638464,0.02960954267232537,17.332043856371488,17.408902593121116
scenario_001,civil_procedure,2,0.00047154722362841017,0.5999700182678712,0.03155318563624946,19.01456243386733,19.143673100243866
scenario_001,civil_procedure,3,0.0006149390235549168,0.7844899633780936,0.035209896949784304,22.280382260048036,22.337967774430847
scenario_001,civil_procedure,4,0.0007112637538230215,1.0886973584312953,0.03825222628723572,28.461019503970142,28.623484440761185
scenario_001,civil_procedure,5,0.0006847960317967194,1.2858337635421786,0.037995302620433866,33.84191399624904,34.11087921046767
scenario_001,civil_procedure,6,0.0006322017404915004,1.3808407169340036,0.035553945918050334,38.83790339662317,38.824284680183446
scenario_001,civil_procedure,7,0.0007248057190871737,1.6453387950440257,0.038067773413196816,43.22130367818261,43.20135276905924
scenario_001,civil_procedure,8,0.0006450983056899284,1.8342580454625121,0.03594350418595141,51.031697854864014,50.923862693560764
scenario_001,civil_procedure,9,0.000598325562822466,1.97774878420027,0.03461334824379776,57.13832623963662,57.02767715233383
scenario_001,civil_procedure,10,0.0007232043509333153,2.371900498408002,0.03802996808001787,62.36924767902375,62.28505307315673
scenario_001,civil_procedure,11,0.0009716528076332276,2.8706881067898213,0.044076906780319794,65.12907362345977,65.10760573290665
scenario_001,civil_procedure,12,0.0010578027010632596,3.194221804756906,0.04599254312725477,69.45086284789585,69.31421756658676
scenario_001,civil_procedure,13,0.001246964144656082,3.38920910737674,0.0499366483144083,67.87017594848965,67.86279338839744
scenario_001,civil_procedure,14,0.001356048059757975,3.5926807165559143,0.0522333611706016,68.78134272886838,68.98042714723476
scenario_001,civil_procedure,15,0.0014109812337405048,4.171988663393006,0.053128228230638834,78.52677949811692,78.54349894298902
scenario_001,civil_procedure,16,0.0015731424158900165,4.412426370506723,0.05610216654967691,78.64983906815154,78.6762285816909
