layer,mean_relative_l2,ci_low,ci_high,mean_cosine_distance,sd_relative_l2,n_scenarios,rank
0,0.005712490565226485,0.005119540877108234,0.006361973849750827,1.6672118362437428e-05,0.0017966222120020475,30,40
1,0.024888433167925703,0.02156421254388958,0.028037027146874373,0.00034716381631048063,0.009401967299889676,30,39
2,0.028224858986053626,0.025163112895402306,0.031428549448221946,0.00043156265231795163,0.00888851827518863,30,38
3,0.03234902704539123,0.02878791592452999,0.03581925955181371,0.000570284815496025,0.01019786062282991,30,33
4,0.0336029563534549,0.03055740204616981,0.03691234957859033,0.000582542158948259,0.008909960865108396,30,31
5,0.0326582255544211,0.02970114199795323,0.035594373283883735,0.0005367174402660176,0.008332568305258841,30,32
6,0.030182348277021882,0.027674087430765805,0.03270936689935018,0.00046431623699151326,0.007017398523096752,30,36
7,0.03218879830648783,0.029884422892866726,0.03471864284663298,0.0005313084092433326,0.007020209628345693,30,34
8,0.03051843965246998,0.028529126593900698,0.032683287500318535,0.0004721418379570926,0.00610962793184023,30,35
9,0.029469315812383597,0.027479769956562344,0.031447351399644975,0.0004385429747635598,0.005624706839695835,30,37
10,0.03490914165875054,0.0329482733371067,0.03687294952652064,0.0006177117664123322,0.005981399653046716,30,30
11,0.041005050302398524,0.03870726107592247,0.04341953440968898,0.0008548567742969674,0.006925542761480816,30,29
12,0.04257526724167314,0.04018448188485418,0.04524210535895495,0.0009247953784066362,0.0072618107671112726,30,28
13,0.04435568430121955,0.041776609446165326,0.04689619246294053,0.0010003871660073252,0.007263812998743772,30,27
14,0.04622417302771156,0.04358422246847628,0.048717078612610334,0.0010836345793857395,0.007108930545334385,30,26
15,0.047226547826962964,0.04477397903905969,0.04980299543416632,0.0011264917259856343,0.0070676148840939645,30,25
16,0.050113958813598036,0.04732974922709217,0.05268871936731748,0.0012690242682454297,0.007296693901338094,30,24
17,0.05472973847665048,0.05203850284994574,0.05763204386378719,0.001503854529041726,0.00782040414706608,30,21
18,0.06078583252856714,0.05781113852350558,0.0638861589167057,0.0018617000638268802,0.008863016076164215,30,18
19,0.06097550878378698,0.058159391636226916,0.06398163867650311,0.0018796976275252267,0.008523855713319052,30,17
20,0.054801670300125595,0.05206157400994688,0.057110295912481984,0.0015064589614851873,0.007121954420124525,30,20
21,0.05425069512096379,0.05152697631846606,0.056632177426215596,0.001464294492138444,0.007015762778442349,30,22
22,0.054120894886499425,0.05167414496731758,0.05633455738110126,0.0014676902956546518,0.006694910320922649,30,23
23,0.056698534823208774,0.054008378702502954,0.05923979997478028,0.001615003374435146,0.007282099922732617,30,19
24,0.09177707194644127,0.08483162745154585,0.09912243826755662,0.0044098629106252615,0.020347543419643892,30,16
25,0.13397062304320684,0.12094698142414144,0.14733035505950076,0.00960175163953143,0.03560640860411487,30,15
26,0.17448005381023377,0.15364489631813713,0.19617646001130018,0.017078012304860706,0.06056924133233188,30,12
27,0.18752578099041214,0.1647893929307742,0.21087776095946162,0.019621908677580322,0.06404878958942788,30,10
28,0.19790959558206028,0.17252796296403716,0.22269231376315562,0.022258031437904453,0.0727808340836324,30,9
29,0.2362184627554755,0.20076814528555964,0.27655975593101645,0.034023414149953225,0.10714782559506929,30,2
30,0.2320173776315879,0.19883832575319166,0.27189990844175504,0.0322209093206714,0.10259876147545403,30,4
31,0.2336663699546548,0.19716306070078812,0.26894952794879107,0.03280061220664275,0.10419692707831878,30,3
32,0.2220580877725407,0.18797892912281464,0.2581383677439642,0.029631037015317406,0.09831731287291384,30,5
33,0.21067628329684215,0.17984814189378634,0.2427108491118916,0.026446854941855124,0.09042050624081474,30,6
34,0.20205951563283572,0.17143170650026734,0.23476690277579504,0.0242665175805988,0.08769599959231773,30,8
35,0.20862557667591258,0.17697269311119307,0.24101955858663263,0.026134575192927157,0.09413240611412953,30,7
36,0.1855291126623434,0.15678872365583943,0.21408906057726187,0.020098388037400862,0.08237992172577738,30,11
37,0.16202811812429843,0.13805404850628017,0.18617481440539413,0.015196870628561562,0.07010934757790015,30,13
38,0.13685149425036075,0.11476068763573694,0.15982662505577055,0.010503614406784163,0.060025330392276394,30,14
39,0.2836380524719548,0.2424824790417392,0.3269250137586389,0.04485129887437205,0.12032733600948461,30,1
